Signature.Subs.01	Signature.Subs.02	Signature.Subs.05	Signature.Subs.08	Signature.Subs.09	Signature.Subs.13	Signature.Subs.18	MM1	mutations
PD26406_NA	0.024367095789235	0.108113363402806	0.364033971097874	0.139169299025116	0.364316270684969	0	0	0	334
PD26407_3	0.0629046848375181	0	0.525601241794358	0	0.411494073368124	0	0	0	2300
PD26407_2	0.0131450900321784	0	0.652096814186653	0.334758095781168	0	0	0	0	111
PD26407_NA	0.00000285280960084945	0	0.473623413709277	0.201676210788783	0.324697522692339	0	0	0	164
PD26408_3	0.0989450198491235	0.0398887820932415	0.375592790756649	0.169464271575718	0.316109135725268	0	0	0	5004
PD26408_2	0.0575040589981801	0.0516551339370604	0.608625921460841	0.282214885603918	0	0	0	0	745
PD26408_NA	0.0741130891825285	0.0499000324623788	0.482030612363243	0.157222738990953	0.236733527000896	0	0	0	253
PD26409_3	0.0551104291733489	0	0.509889425234369	0.127692493503905	0.307307652088378	0	0	0	3843
PD26409_1	0.0373388184363049	0.0476022961393725	0.730385655518125	0.184673229906198	0	0	0	0	670
PD26409_NA	0.0392387922738996	0.0723833130023633	0.443481139148143	0.147885125366276	0.297011630209318	0	0	0	198
PD26410_3	0.0652731365251581	0.0753367756779616	0.470024987713215	0	0.283946187850279	0	0.105418912233387	0	5507
PD26410_NA	0.0387777472821723	0.115209233840842	0.397897526098085	0	0.336830348551609	0	0.111285144227291	0	254
PD26411_4	0.025729970707007	0.0482547725003525	0.235361466154397	0.200580529509028	0.151143281593399	0	0	0.338929979535817	3530
PD26411_5	0.0708605727241765	0.0343474298984111	0.461275036597414	0.118710602146525	0.314806358633473	0	0	0	4410
PD26411_NA	0.0416274192142234	0.0530629066003374	0.2388568223575	0.213812452449852	0.264963248143918	0	0	0.187677151234169	481
PD26411_3	0.0274399273461389	0.0451864383553802	0.226270333975558	0.332356182941543	0.131386502028295	0	0	0.237360615353086	470
